year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,M Kartik,30,28,3,8,3,0,3,107.14285714285714,10.714285714285714,28.57142857142857,0.0,10.714285714285714,10.0
2007,M Muralitharan,0,3,0,3,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2007,M Ntini,11,19,2,14,1,0,2,57.89473684210527,10.526315789473683,73.68421052631578,0.0,10.526315789473683,11.0
2007,M Rawat,34,39,4,19,4,1,3,87.17948717948718,10.256410256410255,48.717948717948715,2.564102564102564,7.6923076923076925,8.5
2007,MA Khote,24,22,3,7,2,1,2,109.09090909090908,13.636363636363635,31.818181818181817,4.545454545454546,9.090909090909092,12.0
2007,MEK Hussey,168,100,23,29,3,11,12,168.0,23.0,28.999999999999996,11.0,12.0,56.0
2007,MF Maharoof,125,79,17,25,6,7,10,158.22784810126583,21.518987341772153,31.645569620253166,8.860759493670885,12.658227848101266,20.833333333333332
2007,MK Pandey,3,10,0,6,2,0,0,30.0,0.0,60.0,0.0,0.0,1.5
2007,MK Tiwary,104,87,16,29,3,0,16,119.54022988505749,18.39080459770115,33.33333333333333,0.0,18.39080459770115,34.666666666666664
2007,ML Hayden,189,135,30,42,2,6,24,140.0,22.22222222222222,31.11111111111111,4.444444444444445,17.77777777777778,94.5
2007,MM Patel,0,1,0,1,0,0,0,0.0,0.0,100.0,0.0,0.0,
2007,MS Dhoni,414,319,53,105,11,15,38,129.7805642633229,16.614420062695924,32.9153605015674,4.702194357366771,11.912225705329153,37.63636363636363
2007,MS Gony,35,25,5,9,1,3,2,140.0,20.0,36.0,12.0,8.0,35.0
2007,MV Boucher,225,181,30,59,8,6,24,124.30939226519338,16.574585635359114,32.59668508287293,3.314917127071823,13.259668508287293,28.125
2007,Misbah-ul-Haq,117,82,16,28,9,6,10,142.6829268292683,19.51219512195122,34.146341463414636,7.317073170731707,12.195121951219512,13.0
2007,Mohammad Asif,3,6,0,3,2,0,0,50.0,0.0,50.0,0.0,0.0,1.5
2007,Mohammad Hafeez,64,84,9,46,8,2,7,76.19047619047619,10.714285714285714,54.761904761904766,2.380952380952381,8.333333333333332,8.0
2007,NK Patel,103,83,14,29,3,1,13,124.09638554216869,16.867469879518072,34.93975903614458,1.2048192771084338,15.66265060240964,34.333333333333336
2007,P Kumar,112,100,16,48,9,6,10,112.00000000000001,16.0,48.0,6.0,10.0,12.444444444444445
2007,PA Patel,302,315,45,143,11,3,42,95.87301587301587,14.285714285714285,45.3968253968254,0.9523809523809524,13.333333333333334,27.454545454545453
2007,PJ Sangwan,2,5,0,3,2,0,0,40.0,0.0,60.0,0.0,0.0,1.0
2007,PM Sarvesh Kumar,1,2,0,1,0,0,0,50.0,0.0,50.0,0.0,0.0,
2007,PP Chawla,90,61,13,23,4,3,10,147.54098360655738,21.311475409836063,37.704918032786885,4.918032786885246,16.39344262295082,22.5
2007,PP Ojha,2,4,0,1,1,0,0,50.0,0.0,25.0,0.0,0.0,2.0
2007,PR Shah,34,38,4,13,4,0,4,89.47368421052632,10.526315789473683,34.21052631578947,0.0,10.526315789473683,8.5
2007,Pankaj Singh,5,8,0,4,0,0,0,62.5,0.0,50.0,0.0,0.0,
2007,R Bhatia,34,28,4,8,2,2,2,121.42857142857142,14.285714285714285,28.57142857142857,7.142857142857142,7.142857142857142,17.0
2007,R Dravid,371,299,46,100,14,11,35,124.08026755852843,15.384615384615385,33.44481605351171,3.678929765886288,11.705685618729097,26.5
2007,R Vinay Kumar,25,28,3,9,3,1,2,89.28571428571429,10.714285714285714,32.142857142857146,3.571428571428571,7.142857142857142,8.333333333333334
2007,RA Jadeja,135,108,17,34,7,6,11,125.0,15.74074074074074,31.48148148148148,5.555555555555555,10.185185185185185,19.285714285714285
2007,RG Sharma,404,276,57,90,11,19,38,146.3768115942029,20.652173913043477,32.608695652173914,6.884057971014493,13.768115942028986,36.72727272727273
2007,RP Singh,27,25,3,7,5,1,2,108.0,12.0,28.000000000000004,4.0,8.0,5.4
2007,RR Powar,28,21,5,9,0,1,4,133.33333333333331,23.809523809523807,42.857142857142854,4.761904761904762,19.047619047619047,
2007,RR Raje,8,9,1,4,0,0,1,88.88888888888889,11.11111111111111,44.44444444444444,0.0,11.11111111111111,
2007,RR Sarwan,73,78,7,30,3,1,6,93.58974358974359,8.974358974358974,38.46153846153847,1.282051282051282,7.6923076923076925,24.333333333333332
2007,RT Ponting,39,53,3,24,3,1,2,73.58490566037736,5.660377358490567,45.28301886792453,1.8867924528301887,3.7735849056603774,13.0
2007,RV Uthappa,320,291,43,110,12,9,34,109.96563573883162,14.776632302405499,37.80068728522337,3.0927835051546393,11.683848797250858,26.666666666666668
2007,S Anirudha,1,8,0,5,1,0,0,12.5,0.0,62.5,0.0,0.0,1.0
2007,S Badrinath,192,138,29,49,6,8,21,139.1304347826087,21.014492753623188,35.507246376811594,5.797101449275362,15.217391304347828,32.0
2007,S Chanderpaul,25,33,4,18,3,0,4,75.75757575757575,12.121212121212121,54.54545454545454,0.0,12.121212121212121,8.333333333333334
2007,S Dhawan,340,308,43,114,10,8,35,110.3896103896104,13.96103896103896,37.01298701298701,2.5974025974025974,11.363636363636363,34.0
2007,S Sohal,4,8,0,5,2,0,0,50.0,0.0,62.5,0.0,0.0,2.0
2007,S Sreesanth,0,3,0,2,1,0,0,0.0,0.0,66.66666666666666,0.0,0.0,0.0
2007,S Vidyut,145,115,24,48,8,3,21,126.08695652173914,20.869565217391305,41.73913043478261,2.608695652173913,18.26086956521739,18.125
2007,SA Asnodkar,311,241,49,81,9,6,43,129.04564315352698,20.33195020746888,33.60995850622407,2.4896265560165975,17.842323651452283,34.55555555555556
